h3,city,no_vehicle,buildings,lat,lon,node,snap_m,routable,nearest_id,nearest_m,second_id,second_m
892a3066363ffff,Boston,1447.6901159416398,35,42.345109529116144,-71.08927730297627,379859,32.28786051426612,True,DS1974,449.78322037077646,DS90297,869.555410319593
892a30660a3ffff,Boston,1115.8557354533582,121,42.36633580194957,-71.05318473897394,203179,25.941122706250805,True,DS3193,565.5129650806925,DS89764,868.923336183508
892a3076ebbffff,Lynn,996.6529390302004,12,42.4631811450209,-70.94380647917039,76507,17.126771571682163,True,DS3466,360.9400359871814,DS90390,467.00682878333976
892a30660afffff,Boston,972.8216385152754,118,42.36393239925086,-71.05583487086335,202746,10.509117674275142,True,DS3193,234.47516502956262,DS89764,601.2704918941863
892a306614bffff,Boston,951.6418889095316,6,42.35261512018109,-71.06389253141352,155728,26.623047952657565,True,DS3293,139.31047409502406,DS2870,364.2621879730729
892a306466fffff,Boston,904.1177508044084,13,42.34124753385833,-71.15365978375752,326824,36.60631504315372,True,DS90317,807.2213835473119,DS89804,917.269137758433
892a30660abffff,Boston,885.0823033962059,143,42.36615423281241,-71.05689409380615,203078,34.074794494471845,True,DS3193,559.6594955287995,DS89764,588.5167328955034
892a306602bffff,Boston,849.1965183451164,74,42.36013326114288,-71.06679529447003,151726,17.834601393378055,True,DS2636,309.09086469143824,DS100096,458.4139290154818
892a306633bffff,Boston,801.0186192107482,76,42.34455085876588,-71.07939929747893,143436,5.939222557968154,True,DS90297,513.3112068377933,DS89677,776.4793234485719
892a30640c3ffff,Brookline,768.5438681139929,19,42.33965835201057,-71.12908805219031,344165,6.47468010675653,True,DS1978,766.2452682928329,DS100169,788.7943699939831
892a306632fffff,Boston,766.2326622515765,36,42.33954849989431,-71.08037776087326,143780,9.70055081238957,True,DS1974,779.4080521173873,DS90419,950.2695692061669
892a30645dbffff,Boston,755.0529830590566,27,42.34232341533448,-71.0995996147558,380699,2.4314124437265727,True,DS89999,305.03070461919236,DS2532,995.8455691970228
892a306650bffff,Boston,709.2753394730009,12,42.3687024992015,-71.0378686866532,208602,28.7377069575954,True,DS90332,422.3711254795726,DS3252,835.8895315936026
