npi,legal_name,name,address,city,state,zip,phone,license,taxonomy_codes,lat,lon
1336635614,"BETH ISRAEL LAHEY HEALTH PHARMACY, INC.","BILH PHARMACY, 364 BROOKLINE AVE, BOSTON",364 BROOKLINE AVE,Boston,MA,02215,617-667-6200,DS90256,3336C0003X,42.338804746048,-71.10732186463
1104820679,BIOSCRIP PHARAMCY INC,BIOSCRIP PHARMACY,21 STANHOPE ST,Boston,MA,02116,617-375-7969,2944,"332B00000X,3336C0003X",42.348833032019,-71.072530666878
1760828149,BLUE HILL PHARMACY LLC,BLUE HILL PHARMACY,320 BLUE HILL AVE,Boston,MA,02121,339-987-0167,,3336C0003X,,
1669142725,"BOSTON CHILDREN'S HEALTH SOLUTIONS RX, LLC",BOSTON CHILDREN'S PHARMACY,283 LONGWOOD AVE,Boston,MA,02115,617-919-5330,,"3336C0003X,3336S0011X",42.337789645207,-71.105038763619
1285216127,"BOSTON CHILDREN'S HEALTH SOLUTIONS RX, LLC","BOSTON CHILDREN'S HEALTH SOLUTIONS RX, LLC",283 LONGWOOD AVE,Boston,MA,02115,617-355-6810,,"3336C0003X,3336C0004X,3336S0011X",42.337789645207,-71.105038763619
1194443531,"BOSTON HEALTH CARE FOR THE HOMELESS PROGRAM, INC.",BHCHP PHARMACY,780 ALBANY ST STE A,Boston,MA,02118,857-654-1790,,3336C0003X,42.334258486235,-71.072329382811
1699473629,BOSTON MEDICAL CENTER CORPORATION,BMC PHARMACY AT CROSSTOWN,801 MASSACHUSETTS AVE,Boston,MA,02118,617-638-8220,,3336C0003X,42.333435305271,-71.07350412891
1083952329,BOSTON MEDICAL CENTER CORPORATION,BOSTON MEDICAL CENTER CORPORATION,725 ALBANY STREET,Boston,MA,02118,617-414-4880,,"3336C0003X,3336C0004X,3336L0003X",42.335523333941,-71.070778132351
1851005763,BOSTON MEDICAL CENTER CORPORATION,BMC PHARMACY AT CROSSTOWN,801 MASSACHUSETTS AVE,Boston,MA,02118,617-638-8220,,3336C0003X,42.333435305271,-71.07350412891
1205473162,BOSTON MEDICAL CENTER CORPORATION,BOSTON MEDICAL CENTER CORPORATION,637 WASHINGTON ST,Dorchester,MA,02124,617-638-8150,,3336C0003X,42.289401802827,-71.071412075929
1427697572,BOSTON MEDICAL CENTER CORPORATION,BMC PHARMACY AT MANET,110 W SQUANTUM ST,North Quincy,MA,02171,617-638-8140,,3336C0003X,42.27241319728,-71.031369434778
1417290131,BOSTON MEDICAL CENTER CORPORATION,BOSTON MEDICAL CENTER CORPORATION,725 ALBANY STREET,Boston,MA,02118,617-414-4880,DS89861,3336C0003X,42.335523333941,-71.070778132351
1295372563,BOSTON MEDICAL CENTER CORPORATION DBA BMC PHARMACY AT CODMAN SQUARE,BOSTON MEDICAL CENTER CORPORATION DBA BMC PHARMACY AT CODMAN SQUARE,637 WASHINGTON ST,Dorchester,MA,02124,617-638-8150,,3336C0003X,42.289401802827,-71.071412075929
1689144982,"BRIGHAM & WOMENS HOSPITAL, INC.",BRIGHAM AND WOMEN'S OUTPATIENT PHARMACY,45 FRANCIS ST,Boston,MA,02115,617-732-6233,,3336C0003X,42.334807042369,-71.105762369723
1356990931,CAPSULE PHARMACY BOSTON LLC,CAPSULE PHARMACY BOSTON LLC,414 BOYLSTON ST,Boston,MA,02116,617-544-2898,,3336C0003X,42.351533564353,-71.071784199812
1568699114,CVS PHARMACY INC,CVS PHARMACY# 08972,285 COLUMBUS AVE,Boston,MA,02116,617-236-8538,,"332B00000X,333600000X,3336C0003X",42.34644571465,-71.074654358843
1790083434,CVS PHARMACY INC,CVS PHARMACY# 04666,101 CANAL ST,Boston,MA,02114,617-227-0720,,"332B00000X,333600000X,3336C0003X",42.364539503827,-71.059987443491
1386061406,CVS PHARMACY INC,CVS PHARMACY #10174,700 ATLANTIC AVE,Boston,MA,02111,617-737-7232,,"332B00000X,333600000X,3336C0003X",42.352545688264,-71.05535953407
1346349636,CVS PHARMACY INC,CVS PHARMACY# 01876,900 COMMONWEALTH AVE,Boston,MA,02215,617-232-2100,2064,"332B00000X,333600000X,3336C0003X",42.35097439218,-71.115897262955
1457832933,CVS PHARMACY INC,CVS PHARMACY #11082,341 HARRISON AVE,Boston,MA,02118,617-556-3922,,"332B00000X,333600000X,3336C0003X",42.345121103576,-71.063838067473
1578662920,CVS PHARMACY INC,CVS PHARMACY #00049,333 WASHINGTON ST,Boston,MA,02108,617-426-1970,20933,"332B00000X,333600000X,3336C0003X",42.356793813223,-71.059076566716
1447491790,CVS PHARMACY INC,CVS PHARMACY #00619,1150 SARATOGA ST,Boston,MA,02128,617-569-2638,,"332B00000X,333600000X,3336C0003X",42.384449661473,-71.000429040743
1477652832,CVS PHARMACY INC,CVS PHARMACY # 01206,240 NEWBURY ST,Boston,MA,02116,617-236-4007,2033,"332B00000X,333600000X,3336C0003X",42.349645859027,-71.082093678498
1194383869,CVS PHARMACY INC,CVS PHARMACY #11200,800 BOYLSTON ST,Boston,MA,02199,617-880-1497,,"332B00000X,333600000X,3336C0003X",42.348748248691,-71.082130672106
1538268990,CVS PHARMACY INC,CVS PHARMACY # 00720,2235 DORCHESTER AVE,Boston,MA,02124,617-296-1025,1003,"332B00000X,333600000X,3336C0003X",42.274108530512,-71.067644008635
1235238536,CVS PHARMACY INC,CVS PHARMACY # 01900,218 HANOVER ST,Boston,MA,02113,617-720-2981,3193,"332B00000X,333600000X,3336C0003X",42.36304456252,-71.055347703714
1144329434,CVS PHARMACY INC,CVS PHARMACY #00260,155 CHARLES ST # 157,Boston,MA,02114,617-523-1028,2294,"332B00000X,333600000X,3336C0003X",42.360094694847,-71.070749291329
1316046618,CVS PHARMACY INC,CVS PHARMACY #00524,350 LONGWOOD AVE,Boston,MA,02115,617-731-5753,2532,"332B00000X,333600000X,3336C0003X",42.338718619335,-71.107057487769
1013016476,CVS PHARMACY INC,CVS PHARMACY # 01259,231 MASSACHUSETTS AVE,Boston,MA,02115,617-266-6775,1974,"332B00000X,333600000X,3336C0003X",42.344486777828,-71.086453984559
1104925569,CVS PHARMACY INC,CVS PHARMACY #01258,191 CAMBRIDGE ST,Boston,MA,02114,617-367-0441,2636,"332B00000X,333600000X,3336C0003X",42.361255369136,-71.066280686787
1821197120,CVS PHARMACY INC,CVS PHARMACY # 05874,631 WASHINGTON ST,Boston,MA,02111,617-338-0128,3293,"332B00000X,333600000X,3336C0003X",42.352456623008,-71.062649062766
1427723535,CVS PHARMACY INC,CVS PHARMACY #11201,191 STUART ST,Boston,MA,02116,617-406-2991,,"332B00000X,333600000X,3336C0003X",42.350914552565,-71.067296582941
1568561926,CVS PHARMACY INC,CVS PHARMACY #01217,587 BOYLSTON ST,Boston,MA,02116,617-437-7916,2011,"332B00000X,333600000X,3336C0003X",42.350266404228,-71.076914621978
1568916302,CVS PHARMACY INC,CVS PHARMACY #10517,91 SEAPORT BLVD,Boston,MA,02210,857-350-4646,DS90064,"332B00000X,333600000X,3336C0003X",42.349857054708,-71.041559096846
1609255959,CVS PHARMACY INC.,CVS PHARMACY #17655,1341 BOYLSTON ST,Boston,MA,02215,612-555-5555,DS89999,"332B00000X,333600000X,3336C0003X",42.344225414945,-71.099286729408
1083849525,DAISYS PHARMACY CORP,"HEALTH FIRST PHARMACY, INC.",1670 COMMONWEALTH AVE,Boston,MA,02135,617-206-3233,DS89662,3336C0003X,42.341632303658,-71.145154017116
1336805761,ELYSIAN ENTERPRISES INC,GARY DRUG CO.,59 CHARLES ST,Boston,MA,02114,617-227-0023,,3336C0003X,42.357768897555,-71.070192741976
1184899957,FENWAY COMMUNITY HEALTH CENTER INC,FENWAY PHARMACY SEA,142 BERKELEY ST,Boston,MA,02116,617-927-6163,ds3583,3336C0003X,42.348903588662,-71.0720192687
1043684582,GALAXY PHARMACY BOSTON INC,GALAXY PHARMACY,534 DORCHESTER AVE UNIT C-1,Boston,MA,02127,617-268-0800,DS90255,3336C0003X,42.331054530294,-71.056886148506
1740615574,GALAXY PHARMACY LLC,GALAXY PHARMACY,534 DORCHESTER AVE UNIT C-1,Boston,MA,02127,617-268-0800,DS89898,3336C0003X,42.331054530294,-71.056886148506
1194474684,GENOA HEALTHCARE LLC,GENOA HEALTHCARE LLC,66 CANAL ST RM P,Boston,MA,02114,857-263-2201,,"332B00000X,333600000X,3336C0003X,3336L0003X",42.364686702088,-71.060381410674
1437219466,GIANGREGORIO BROS INC.,GREEN CROSS PHARMACY,393 HANOVER ST,Boston,MA,02113,617-227-3728,3949,3336C0003X,42.365160135383,-71.053042524068
1902841430,GREENFIELD ENTERPRISES INC,GARY DRUG COMPANY,59 CHARLES ST,Boston,MA,02114,617-227-0023,DS3937,"333600000X,3336C0003X",42.357768897555,-71.070192741976
1114858347,INSITO HEALTH INC.,MEDFINDER,373 WASHINGTON ST STE 1009,Boston,MA,02108,617-631-8894,,3336C0003X,42.356369063914,-71.059552908894
1710047014,J&G EINSIDLER CORPORATION,610 TREMONT DRUG,610 TREMONT ST,Boston,MA,02118,617-262-3389,2808,"332B00000X,3336C0003X",42.342753623591,-71.073776815533
